code,word1_weight,word2_weight,word3_weight,word4_weight,word5_weight,year
566,45,45,4,0,6,2013
569,56,33,11,0,0,2013
533,42,49,1,6,2,2013
710,55,39,6,0,0,2013
766,0,100,0,0,0,2013
744,36,52,4,4,4,2013
618,52,38,4,3,3,2013
691,51,41,1,0,7,2013
758,18,55,0,0,27,2013
527,41,49,3,1,6,2013
718,40,57,2,0,1,2013
639,64,36,0,0,0,2013
561,59,33,0,4,4,2013
574,33,61,2,0,4,2013
734,26,74,0,0,0,2013
603,31,30,0,0,39,2013
747,67,33,0,0,0,2013
616,33,60,2,0,5,2013
557,40,55,0,0,5,2013
702,15,81,2,0,2,2013
582,30,70,0,0,0,2013
642,54,31,3,3,9,2013
643,75,25,0,0,0,2013
551,48,46,2,0,4,2013
749,50,25,25,0,0,2013
839,54,34,6,3,3,2013
541,38,55,0,3,4,2013
558,25,75,0,0,0,2013
722,35,60,0,5,0,2013
693,37,57,1,1,4,2013
803,50,35,7,4,4,2013
529,50,46,2,1,1,2013
651,61,31,0,0,8,2013
503,49,31,10,0,10,2013
669,28,61,3,2,6,2013
737,11,89,0,0,0,2013
553,45,55,0,0,0,2013
813,30,65,0,0,5,2013
640,44,47,3,2,4,2013
711,37,63,0,0,0,2013
528,51,29,9,3,8,2013
617,39,54,2,1,4,2013
613,4,96,0,0,0,2013
687,34,62,0,0,4,2013
762,53,47,0,0,0,2013
686,43,45,1,3,8,2013
628,48,33,19,0,0,2013
828,49,42,3,0,6,2013
698,43,39,3,0,15,2013
659,45,45,3,1,6,2013
622,54,38,5,2,1,2013
501,46,37,5,6,6,2013
544,53,33,6,3,5,2013
740,0,0,0,0,0,2013
633,54,31,15,0,0,2013
650,48,45,2,1,4,2013
652,33,62,2,1,2,2013
534,50,36,4,3,7,2013
631,14,58,14,0,14,2013
632,52,45,0,0,3,2013
804,40,60,0,0,0,2013
656,50,44,6,0,0,2013
597,63,37,0,0,0,2013
675,41,41,1,0,17,2013
504,53,35,3,4,5,2013
753,47,39,6,3,5,2013
508,49,43,3,2,3,2013
820,37,48,11,1,3,2013
500,35,59,0,2,4,2013
552,0,100,0,0,0,2013
521,41,50,2,1,6,2013
717,37,63,0,0,0,2013
560,42,50,3,2,3,2013
764,46,45,0,0,9,2013
811,51,41,2,2,4,2013
556,48,45,3,2,2,2013
573,43,57,0,0,0,2013
611,20,78,2,0,0,2013
538,42,51,1,3,3,2013
610,55,41,0,0,4,2013
862,45,44,3,1,7,2013
576,48,42,5,0,5,2013
770,40,45,3,4,8,2013
661,63,37,0,0,0,2013
641,46,39,7,3,5,2013
825,47,42,6,3,2,2013
807,40,43,3,2,12,2013
855,45,43,8,2,2,2013
507,56,41,1,1,1,2013
819,40,51,4,2,3,2013
657,40,60,0,0,0,2013
612,35,53,8,0,4,2013
624,27,73,0,0,0,2013
725,31,68,0,0,1,2013
588,55,45,0,0,0,2013
881,47,43,5,1,4,2013
619,30,50,2,1,17,2013
543,41,38,4,13,4,2013
638,12,88,0,0,0,2013
609,35,56,1,1,7,2013
555,32,52,5,6,5,2013
530,46,34,2,4,14,2013
539,53,33,3,2,9,2013
581,49,48,0,0,3,2013
547,37,57,2,1,3,2013
605,32,47,6,6,9,2013
540,38,53,3,0,6,2013
531,45,52,0,0,3,2013
789,38,50,4,3,5,2013
671,45,48,0,0,7,2013
760,55,36,9,0,0,2013
709,31,62,2,0,5,2013
526,54,39,7,0,0,2013
626,20,60,20,0,0,2013
625,42,42,4,7,5,2013
511,51,36,5,3,5,2013
549,43,43,7,0,7,2013
705,20,75,0,0,5,2013
548,53,32,7,2,6,2013
554,33,61,0,6,0,2013
627,59,36,5,0,0,2013
678,54,41,1,2,2,2013
577,37,48,0,4,11,2013
550,44,50,0,0,6,2013
810,30,52,12,3,3,2013
536,47,51,2,0,0,2013
771,50,40,10,0,0,2013
596,50,50,0,0,0,2013
662,40,54,6,0,0,2014
525,56,44,0,0,0,2014
532,46,43,2,3,6,2014
790,31,49,12,6,2,2014
644,62,38,0,0,0,2014
583,0,0,0,0,0,2014
634,37,49,8,3,3,2014
743,44,52,4,0,0,2014
524,46,45,5,1,3,2014
520,46,51,1,0,2,2014
635,41,43,7,4,5,2014
800,58,29,0,3,10,2014
512,42,42,7,4,5,2014
537,29,71,0,0,0,2014
716,31,53,5,7,4,2014
692,64,36,0,0,0,2014
821,40,60,0,0,0,2014
756,39,50,11,0,0,2014
746,56,33,11,0,0,2014
