code,year,sinclair_present,years_before
527,2020,FALSE,-99
528,2004,FALSE,-99
528,2005,FALSE,-99
528,2006,FALSE,-99
528,2007,FALSE,-99
528,2008,FALSE,-99
528,2009,FALSE,-99
528,2010,FALSE,-99
528,2011,FALSE,-99
528,2012,FALSE,-99
528,2013,FALSE,-99
528,2014,FALSE,-99
528,2015,FALSE,-99
528,2016,FALSE,-99
528,2017,FALSE,-99
528,2018,FALSE,-99
528,2019,FALSE,-99
528,2020,FALSE,-99
529,2004,FALSE,-99
529,2005,FALSE,-99
529,2006,FALSE,-99
529,2007,FALSE,-99
529,2008,FALSE,-99
529,2009,FALSE,-99
529,2010,FALSE,-99
529,2011,FALSE,-99
529,2012,FALSE,-99
529,2013,FALSE,-99
529,2014,FALSE,-99
529,2015,FALSE,-99
529,2016,FALSE,-99
529,2017,FALSE,-99
529,2018,FALSE,-99
529,2019,FALSE,-99
529,2020,FALSE,-99
530,2004,TRUE,-0
530,2005,TRUE,1
530,2006,TRUE,2
530,2007,TRUE,3
530,2008,TRUE,4
530,2009,TRUE,5
530,2010,TRUE,6
530,2011,TRUE,7
530,2012,TRUE,8
530,2013,TRUE,9
530,2014,TRUE,10
530,2015,TRUE,11
530,2016,TRUE,12
530,2017,TRUE,13
530,2018,TRUE,14
530,2019,TRUE,15
530,2020,TRUE,16
531,2004,TRUE,-0
531,2005,FALSE,1
531,2006,FALSE,2
531,2007,FALSE,3
531,2008,FALSE,4
531,2009,FALSE,5
531,2010,FALSE,6
531,2011,FALSE,7
531,2012,FALSE,8
531,2013,FALSE,9
531,2014,FALSE,10
531,2015,FALSE,11
531,2016,FALSE,12
531,2017,TRUE,13
531,2018,TRUE,14
531,2019,TRUE,15
531,2020,TRUE,16
532,2004,FALSE,-7
532,2005,FALSE,-6
532,2006,FALSE,-5
532,2007,FALSE,-4
532,2008,FALSE,-3
532,2009,FALSE,-2
532,2010,FALSE,-1
532,2011,TRUE,-0
532,2012,TRUE,1
532,2013,TRUE,2
532,2014,TRUE,3
532,2015,TRUE,4
532,2016,TRUE,5
532,2017,TRUE,6
532,2018,TRUE,7
532,2019,TRUE,8
532,2020,TRUE,9
533,2004,FALSE,-99
533,2005,FALSE,-99
533,2006,FALSE,-99
533,2007,FALSE,-99
533,2008,FALSE,-99
533,2009,FALSE,-99
533,2010,FALSE,-99
533,2011,FALSE,-99
533,2012,FALSE,-99
533,2013,FALSE,-99
533,2014,FALSE,-99
533,2015,FALSE,-99
533,2016,FALSE,-99
533,2017,FALSE,-99
533,2018,FALSE,-99
533,2019,FALSE,-99
533,2020,FALSE,-99
534,2004,FALSE,-99
534,2005,FALSE,-99
534,2006,FALSE,-99
534,2007,FALSE,-99
534,2008,FALSE,-99
534,2009,FALSE,-99
534,2010,FALSE,-99
534,2011,FALSE,-99
534,2012,FALSE,-99
534,2013,FALSE,-99
534,2014,FALSE,-99
534,2015,FALSE,-99
534,2016,FALSE,-99
534,2017,FALSE,-99
534,2018,FALSE,-99
534,2019,FALSE,-99
534,2020,FALSE,-99
535,2004,TRUE,-0
535,2005,TRUE,1
535,2006,TRUE,2
535,2007,TRUE,3
535,2008,TRUE,4
535,2009,TRUE,5
535,2010,TRUE,6
535,2011,TRUE,7
535,2012,TRUE,8
535,2013,TRUE,9
535,2014,TRUE,10
535,2015,TRUE,11
535,2016,TRUE,12
535,2017,TRUE,13
535,2018,TRUE,14
535,2019,TRUE,15
535,2020,TRUE,16
536,2004,FALSE,-99
536,2005,FALSE,-99
536,2006,FALSE,-99
536,2007,FALSE,-99
536,2008,FALSE,-99
536,2009,FALSE,-99
536,2010,FALSE,-99
536,2011,FALSE,-99
536,2012,FALSE,-99
536,2013,FALSE,-99
536,2014,FALSE,-99
536,2015,FALSE,-99
536,2016,FALSE,-99
536,2017,FALSE,-99
536,2018,FALSE,-99
536,2019,FALSE,-99
536,2020,FALSE,-99
537,2004,FALSE,-99
537,2005,FALSE,-99
537,2006,FALSE,-99
537,2007,FALSE,-99
537,2008,FALSE,-99
537,2009,FALSE,-99
537,2010,FALSE,-99
537,2011,FALSE,-99
537,2012,FALSE,-99
537,2013,FALSE,-99
537,2014,FALSE,-99
537,2015,FALSE,-99
537,2016,FALSE,-99
537,2017,FALSE,-99
537,2018,FALSE,-99
537,2019,FALSE,-99
537,2020,FALSE,-99
538,2004,TRUE,-0
538,2005,TRUE,1
538,2006,TRUE,2
538,2007,TRUE,3
538,2008,TRUE,4
538,2009,TRUE,5
538,2010,TRUE,6
538,2011,TRUE,7
538,2012,TRUE,8
538,2013,TRUE,9
538,2014,TRUE,10
538,2015,TRUE,11
538,2016,TRUE,12
538,2017,TRUE,13
538,2018,TRUE,14
538,2019,TRUE,15
538,2020,TRUE,16
539,2004,TRUE,-0
539,2005,TRUE,1
539,2006,TRUE,2
539,2007,TRUE,3
539,2008,TRUE,4
539,2009,TRUE,5
539,2010,TRUE,6
539,2011,TRUE,7
539,2012,TRUE,8
539,2013,TRUE,9
539,2014,FALSE,10
539,2015,FALSE,11
539,2016,FALSE,12
539,2017,FALSE,13
539,2018,FALSE,14
539,2019,FALSE,15
539,2020,FALSE,16
540,2004,FALSE,-9
540,2005,FALSE,-8
540,2006,FALSE,-7
540,2007,FALSE,-6
540,2008,FALSE,-5
540,2009,FALSE,-4
540,2010,FALSE,-3
540,2011,FALSE,-2
540,2012,FALSE,-1
540,2013,TRUE,-0
540,2014,TRUE,1
540,2015,TRUE,2
540,2016,TRUE,3
540,2017,TRUE,4
540,2018,TRUE,5
540,2019,TRUE,6
540,2020,TRUE,7
541,2004,TRUE,-0
541,2005,TRUE,1
541,2006,TRUE,2
541,2007,TRUE,3
541,2008,TRUE,4
541,2009,TRUE,5
541,2010,TRUE,6
541,2011,TRUE,7
541,2012,TRUE,8
541,2013,TRUE,9
541,2014,TRUE,10
541,2015,TRUE,11
541,2016,TRUE,12
541,2017,TRUE,13
541,2018,TRUE,14
541,2019,TRUE,15
541,2020,FALSE,16
542,2004,TRUE,-0
542,2005,TRUE,1
542,2006,TRUE,2
542,2007,TRUE,3
542,2008,TRUE,4
542,2009,TRUE,5
542,2010,TRUE,6
542,2011,TRUE,7
542,2012,TRUE,8
542,2013,TRUE,9
542,2014,TRUE,10
542,2015,TRUE,11
542,2016,TRUE,12
542,2017,TRUE,13
542,2018,TRUE,14
542,2019,TRUE,15
542,2020,TRUE,16
543,2004,FALSE,-99
543,2005,FALSE,-99
543,2006,FALSE,-99
543,2007,FALSE,-99
543,2008,FALSE,-99
543,2009,FALSE,-99
543,2010,FALSE,-99
543,2011,FALSE,-99
543,2012,FALSE,-99
543,2013,FALSE,-99
543,2014,FALSE,-99
543,2015,FALSE,-99
543,2016,FALSE,-99
543,2017,FALSE,-99
543,2018,FALSE,-99
543,2019,FALSE,-99
543,2020,FALSE,-99
544,2004,TRUE,-0
544,2005,TRUE,1
544,2006,TRUE,2
544,2007,TRUE,3
544,2008,TRUE,4
544,2009,TRUE,5
544,2010,TRUE,6
544,2011,TRUE,7
544,2012,TRUE,8
544,2013,TRUE,9
544,2014,TRUE,10
544,2015,TRUE,11
544,2016,TRUE,12
544,2017,TRUE,13
544,2018,TRUE,14
544,2019,TRUE,15
544,2020,TRUE,16
545,2004,FALSE,-13
545,2005,FALSE,-12
545,2006,FALSE,-11
545,2007,FALSE,-10
545,2008,FALSE,-9
545,2009,FALSE,-8
545,2010,FALSE,-7
545,2011,FALSE,-6
545,2012,FALSE,-5
545,2013,FALSE,-4
545,2014,FALSE,-3
545,2015,FALSE,-2
545,2016,FALSE,-1
545,2017,TRUE,-0
545,2018,TRUE,1
545,2019,TRUE,2
545,2020,TRUE,3
546,2004,FALSE,-9
546,2005,FALSE,-8
546,2006,FALSE,-7
546,2007,FALSE,-6
546,2008,FALSE,-5
546,2009,FALSE,-4
546,2010,FALSE,-3
546,2011,FALSE,-2
546,2012,FALSE,-1
546,2013,TRUE,-0
546,2014,TRUE,1
546,2015,TRUE,2
546,2016,TRUE,3
546,2017,TRUE,4
546,2018,TRUE,5
546,2019,TRUE,6
546,2020,TRUE,7
547,2004,FALSE,-9
547,2005,FALSE,-8
547,2006,FALSE,-7
547,2007,FALSE,-6
547,2008,FALSE,-5
547,2009,FALSE,-4
547,2010,FALSE,-3
547,2011,FALSE,-2
547,2012,FALSE,-1
547,2013,TRUE,-0
547,2014,TRUE,1
547,2015,TRUE,2
547,2016,TRUE,3
547,2017,TRUE,4
547,2018,TRUE,5
547,2019,TRUE,6
547,2020,TRUE,7
548,2004,FALSE,-7
548,2005,FALSE,-6
548,2006,FALSE,-5
548,2007,FALSE,-4
548,2008,FALSE,-3
548,2009,FALSE,-2
548,2010,FALSE,-1
548,2011,TRUE,-0
548,2012,TRUE,1
548,2013,TRUE,2
548,2014,TRUE,3
548,2015,TRUE,4
548,2016,TRUE,5
548,2017,TRUE,6
548,2018,TRUE,7
548,2019,TRUE,8
548,2020,TRUE,9
549,2004,FALSE,-99
549,2005,FALSE,-99
549,2006,FALSE,-99
549,2007,FALSE,-99
549,2008,FALSE,-99
549,2009,FALSE,-99
549,2010,FALSE,-99
549,2011,FALSE,-99
549,2012,FALSE,-99
549,2013,FALSE,-99
549,2014,FALSE,-99
549,2015,FALSE,-99
549,2016,FALSE,-99
549,2017,FALSE,-99
549,2018,FALSE,-99
549,2019,FALSE,-99
549,2020,FALSE,-99
550,2004,FALSE,-99
550,2005,FALSE,-99
550,2006,FALSE,-99
550,2007,FALSE,-99
550,2008,FALSE,-99
550,2009,FALSE,-99
550,2010,FALSE,-99
550,2011,FALSE,-99
550,2012,FALSE,-99
550,2013,FALSE,-99
550,2014,FALSE,-99
550,2015,FALSE,-99
550,2016,FALSE,-99
550,2017,FALSE,-99
550,2018,FALSE,-99
550,2019,FALSE,-99
550,2020,FALSE,-99
551,2004,FALSE,-7
551,2005,FALSE,-6
551,2006,FALSE,-5
551,2007,FALSE,-4
551,2008,FALSE,-3
551,2009,FALSE,-2
551,2010,FALSE,-1
551,2011,TRUE,-0
551,2012,TRUE,1
551,2013,FALSE,2
551,2014,FALSE,3
551,2015,FALSE,4
551,2016,FALSE,5
551,2017,FALSE,6
551,2018,FALSE,7
551,2019,FALSE,8
551,2020,FALSE,9
552,2004,FALSE,-99
552,2005,FALSE,-99
552,2006,FALSE,-99
552,2007,FALSE,-99
552,2008,FALSE,-99
552,2009,FALSE,-99
552,2010,FALSE,-99
552,2011,FALSE,-99
552,2012,FALSE,-99
552,2013,FALSE,-99
552,2014,FALSE,-99
552,2015,FALSE,-99
552,2016,FALSE,-99
552,2017,FALSE,-99
552,2018,FALSE,-99
552,2019,FALSE,-99
552,2020,FALSE,-99
553,2004,FALSE,-9
553,2005,FALSE,-8
553,2006,FALSE,-7
553,2007,FALSE,-6
553,2008,FALSE,-5
553,2009,FALSE,-4
553,2010,FALSE,-3
553,2011,FALSE,-2
553,2012,FALSE,-1
553,2013,TRUE,-0
553,2014,TRUE,1
553,2015,TRUE,2
553,2016,FALSE,3
553,2017,FALSE,4
553,2018,FALSE,5
553,2019,FALSE,6
553,2020,FALSE,7
554,2004,FALSE,-9
554,2005,FALSE,-8
554,2006,FALSE,-7
554,2007,FALSE,-6
554,2008,FALSE,-5
554,2009,FALSE,-4
554,2010,FALSE,-3
554,2011,FALSE,-2
554,2012,FALSE,-1
554,2013,TRUE,-0
554,2014,TRUE,1
554,2015,TRUE,2
554,2016,TRUE,3
554,2017,TRUE,4
554,2018,TRUE,5
554,2019,TRUE,6
554,2020,TRUE,7
555,2004,TRUE,-0
